date,close
2021-05-19,20.5178
2021-05-20,20.4132
2021-05-21,20.3296
2021-05-25,20.2669
2021-05-26,20.4411
2021-05-27,20.4411
2021-05-28,20.5070
2021-05-31,20.5280
2021-06-01,20.4790
2021-06-02,20.5560
2021-06-03,20.4579
2021-06-04,20.4719
2021-06-07,20.7242
2021-06-08,20.8503
2021-06-09,20.8293
2021-06-10,20.9413
2021-06-11,20.8573
2021-06-14,20.8503
2021-06-15,20.9344
2021-06-16,20.8223
2021-06-17,20.6751
2021-06-18,20.7312
2021-06-21,20.9344
2021-06-22,21.0394
2021-06-23,21.1375
2021-06-24,20.9063
2021-06-25,20.8643
2021-06-28,20.7942
2021-06-29,20.7689
2021-06-30,20.6844
2021-07-02,20.8182
2021-07-05,21.0154
2021-07-06,21.2196
2021-07-07,21.0788
2021-07-08,21.2267
2021-07-09,21.4379
2021-07-12,21.4943
2021-07-13,21.4379
2021-07-14,21.4591
2021-07-15,21.4872
2021-07-16,21.3746
2021-07-19,20.8041
2021-07-20,21.2971
2021-07-21,21.4098
2021-07-22,21.1773
2021-07-23,21.2759
2021-07-26,21.2478
2021-07-27,21.3252
2021-07-28,21.2900
2021-07-29,21.2292
2021-07-30,21.3495
2021-08-03,21.2150
2021-08-04,21.1088
2021-08-05,21.2858
2021-08-06,21.3495
2021-08-09,21.3353
2021-08-10,21.3141
2021-08-11,21.5689
2021-08-12,21.6185
2021-08-13,21.5406
2021-08-16,21.4628
2021-08-17,21.3212
2021-08-18,21.3849
2021-08-19,21.1301
2021-08-20,21.2362
2021-08-23,21.2858
2021-08-24,21.2858
2021-08-25,21.4203
2021-08-26,21.5477
2021-08-27,21.6963
2021-08-30,21.7561
2021-08-31,21.7063
2021-09-01,21.7988
2021-09-02,21.8486
2021-09-03,21.7846
2021-09-07,21.5498
2021-09-08,21.7561
2021-09-09,21.7206
2021-09-10,21.5142
2021-09-13,21.6209
2021-09-14,21.5711
2021-09-15,21.7775
2021-09-16,21.7917
2021-09-17,21.8913
2021-09-20,21.4929
2021-09-21,21.7917
2021-09-22,21.8557
2021-09-23,21.8202
2021-09-24,21.7277
2021-09-27,21.6707
2021-09-28,21.3876
2021-09-29,21.3876
2021-09-30,21.2088
2021-10-01,21.3947
2021-10-04,21.3447
2021-10-05,21.3876
2021-10-06,21.3804
2021-10-07,21.5878
2021-10-08,21.6378
2021-10-12,21.7809
2021-10-13,22.0597
2021-10-14,22.0311
2021-10-15,22.0454
2021-10-18,22.1169
2021-10-19,22.3315
2021-10-20,22.4816
2021-10-21,22.4030
2021-10-22,22.4673
2021-10-25,22.5317
2021-10-26,22.5174
2021-10-27,22.5102
2021-10-28,22.5203
2021-10-29,22.4125
2021-11-01,22.4844
2021-11-02,22.4556
2021-11-03,22.7359
2021-11-04,22.8868
2021-11-05,23.2245
2021-11-08,23.0520
2021-11-09,23.1455
2021-11-10,23.1023
2021-11-11,23.1095
2021-11-12,23.1814
2021-11-15,23.1095
2021-11-16,23.0952
2021-11-17,23.0017
2021-11-18,22.9802
2021-11-19,22.8652
2021-11-22,22.6065
2021-11-23,22.5275
2021-11-24,22.7933
2021-11-25,22.9802
2021-11-26,22.2903
2021-11-29,22.3871
2021-11-30,21.5350
2021-12-01,21.3905
2021-12-02,21.8816
2021-12-03,21.8672
2021-12-06,22.3582
2021-12-07,22.3943
2021-12-08,22.4882
2021-12-09,22.3582
2021-12-10,22.3293
2021-12-13,22.4232
2021-12-14,22.2571
2021-12-15,22.4593
2021-12-16,22.4521
2021-12-17,22.8421
2021-12-20,22.2210
2021-12-21,22.7338
2021-12-22,22.8637
2021-12-23,22.8926
2021-12-24,22.9215
2021-12-29,23.2393
2021-12-30,23.3002
2021-12-31,23.3583
2022-01-04,23.1478
2022-01-05,22.7633
2022-01-06,22.8503
2022-01-07,22.9519
2022-01-10,22.9011
2022-01-11,23.0462
2022-01-12,23.0172
2022-01-13,23.0970
2022-01-14,22.8794
2022-01-17,22.9447
2022-01-18,23.1188
2022-01-19,22.8576
2022-01-20,22.7778
2022-01-21,22.3569
2022-01-24,21.8707
2022-01-25,21.7909
2022-01-26,22.0013
2022-01-27,22.0013
2022-01-28,22.3470
2022-01-31,22.4200
2022-02-01,22.5075
2022-02-02,22.5221
2022-02-03,22.3325
2022-02-04,22.2376
2022-02-07,22.2303
2022-02-08,22.3325
2022-02-09,22.4856
2022-02-10,22.4491
2022-02-11,22.3689
2022-02-14,22.2668
2022-02-15,22.6461
2022-02-16,22.8795
2022-02-17,22.9232
2022-02-18,22.9232
2022-02-22,23.0618
2022-02-23,23.2441
2022-02-24,23.0691
2022-02-25,23.4385
2022-02-28,23.3139
2022-03-01,23.3945
2022-03-02,23.4971
2022-03-03,23.5924
2022-03-04,23.5557
2022-03-07,23.3725
2022-03-08,23.2479
2022-03-09,23.5631
2022-03-10,23.8269
2022-03-11,24.1347
2022-03-14,23.7463
2022-03-15,23.7536
2022-03-16,23.9295
2022-03-17,24.2887
2022-03-18,24.3473
2022-03-21,24.2080
2022-03-22,24.4352
2022-03-23,24.2227
2022-03-24,24.0248
2022-03-25,24.2154
2022-03-28,24.1714
2022-03-29,24.4572
2022-03-30,24.3424
2022-03-31,24.1730
2022-04-01,24.2761
2022-04-04,24.0552
2022-04-05,24.0405
2022-04-06,23.7680
2022-04-07,23.7091
2022-04-08,24.0184
2022-04-11,23.8564
2022-04-12,23.6576
2022-04-13,23.8490
2022-04-14,23.8417
2022-04-18,23.8564
2022-04-19,24.2540
2022-04-20,24.1951
2022-04-21,23.9742
2022-04-22,23.8196
2022-04-25,23.5987
2022-04-26,23.2305
2022-04-27,23.3115
2022-04-28,23.6918
2022-04-29,23.1517
2022-05-02,22.1824
2022-05-03,22.1824
2022-05-04,22.4932
2022-05-05,22.1972
2022-05-06,21.8495
2022-05-09,21.2058
2022-05-10,20.7988
2022-05-11,20.9394
2022-05-12,21.0800
2022-05-13,21.5905
2022-05-16,21.6867
2022-05-17,21.9161
2022-05-18,21.6497
2022-05-19,21.4943
2022-05-20,21.3759
2022-05-24,21.3611
2022-05-25,21.4203
2022-05-26,21.3981
2022-05-27,21.7533
2022-05-30,21.7637
2022-05-31,21.8827
2022-06-01,21.7934
2022-06-02,21.9125
2022-06-03,21.8604
2022-06-06,21.6447
2022-06-07,21.5554
2022-06-08,21.4513
2022-06-09,21.3249
2022-06-10,21.2058
2022-06-13,20.4323
2022-06-14,20.2091
2022-06-15,20.5662
2022-06-16,19.6364
2022-06-17,19.7554
2022-06-20,20.1273
2022-06-21,20.3282
2022-06-22,20.1124
2022-06-23,20.0827
2022-06-24,20.3505
2022-06-27,20.4918
2022-06-28,20.5959
2022-06-29,20.5092
2022-06-30,20.5615
2022-07-04,20.5690
2022-07-05,20.5989
2022-07-06,20.6213
2022-07-07,20.8009
2022-07-08,20.8009
2022-07-11,20.8158
2022-07-12,20.9280
2022-07-13,20.7934
2022-07-14,20.3296
2022-07-15,20.3820
2022-07-18,20.6887
2022-07-19,21.2272
2022-07-20,21.1748
2022-07-21,21.0701
2022-07-22,21.2422
2022-07-25,21.5638
2022-07-26,21.4890
2022-07-27,21.3768
2022-07-28,21.7257
2022-07-29,21.9739
2022-08-02,21.5603
2022-08-03,21.8235
2022-08-04,21.8686
2022-08-05,21.8085
2022-08-08,22.1168
2022-08-09,22.2521
2022-08-10,22.4176
2022-08-11,22.6357
2022-08-12,22.7259
2022-08-15,22.6282
2022-08-16,22.3725
2022-08-17,22.0792
2022-08-18,22.1093
2022-08-19,22.1168
2022-08-22,21.8160
2022-08-23,21.5528
2022-08-24,21.5377
2022-08-25,21.6806
2022-08-26,21.5528
2022-08-29,21.6881
2022-08-30,21.5248
2022-08-31,21.1468
2022-09-01,20.9124
2022-09-02,21.0107
2022-09-06,20.9729
2022-09-07,21.1695
2022-09-08,21.0410
2022-09-09,21.3812
2022-09-12,21.7970
2022-09-13,21.5021
2022-09-14,21.0561
2022-09-15,21.1922
2022-09-16,21.1544
2022-09-19,21.1695
2022-09-20,20.5268
2022-09-21,20.4890
2022-09-22,20.1034
2022-09-23,19.6952
2022-09-26,19.1206
2022-09-27,19.0374
2022-09-28,19.4741
2022-09-29,19.1241
2022-09-30,19.7403
2022-10-03,20.1130
2022-10-04,20.3337
2022-10-05,19.9761
2022-10-06,19.5653
2022-10-07,19.5577
2022-10-11,19.2154
2022-10-12,19.3600
2022-10-13,19.8848
2022-10-14,19.7251
2022-10-17,20.1739
2022-10-18,20.0902
2022-10-19,19.7859
2022-10-20,19.8696
2022-10-21,19.9913
2022-10-24,20.0598
2022-10-25,20.3717
2022-10-26,20.6455
2022-10-27,20.7596
2022-10-28,20.7933
2022-10-31,20.4261
2022-11-01,20.5408
2022-11-02,20.3725
2022-11-03,20.1736
2022-11-04,20.7398
2022-11-07,21.0917
2022-11-08,21.1299
2022-11-09,21.0152
2022-11-10,21.8108
2022-11-11,21.8643
2022-11-14,21.2600
2022-11-15,21.0534
2022-11-16,20.5562
2022-11-17,20.5485
2022-11-18,20.5868
2022-11-21,20.7780
2022-11-22,21.0228
2022-11-23,20.9157
2022-11-24,20.9999
2022-11-25,21.2676
2022-11-28,20.8545
2022-11-29,21.2423
2022-11-30,21.1576
2022-12-01,21.1961
2022-12-02,20.9730
2022-12-05,20.8345
2022-12-06,20.8653
2022-12-07,20.9961
2022-12-08,20.8422
2022-12-09,20.8576
2022-12-12,20.9114
2022-12-13,21.0961
2022-12-14,21.0499
2022-12-15,20.9345
2022-12-16,20.7653
2022-12-19,20.4883
2022-12-20,20.4191
2022-12-21,20.7883
2022-12-22,20.4729
2022-12-23,20.6345
2022-12-28,20.3036
2022-12-29,20.6859
2022-12-30,20.7246
2023-01-03,20.9258
2023-01-04,21.2431
2023-01-05,21.0497
2023-01-06,21.2354
2023-01-09,21.1425
2023-01-10,21.2354
2023-01-11,21.7616
2023-01-12,22.0480
2023-01-13,21.9551
2023-01-16,22.0635
2023-01-17,22.2105
2023-01-18,22.0093
2023-01-19,21.5914
2023-01-20,21.9009
2023-01-23,22.1873
2023-01-24,22.1176
2023-01-25,22.0325
2023-01-26,22.0093
2023-01-27,21.8700
2023-01-30,21.9198
2023-01-31,21.9431
2023-02-01,22.0054
2023-02-02,22.0054
2023-02-03,21.8264
2023-02-06,21.5385
2023-02-07,21.2584
2023-02-08,21.2195
2023-02-09,21.3518
2023-02-10,21.3206
2023-02-13,21.3984
2023-02-14,21.4607
2023-02-15,21.3907
2023-02-16,21.3984
2023-02-17,21.5930
2023-02-21,21.1961
2023-02-22,21.3673
2023-02-23,21.4296
2023-02-24,21.5541
2023-02-27,21.6511
2023-02-28,21.6589
2023-03-01,21.5572
2023-03-02,21.5650
2023-03-03,21.6276
2023-03-06,21.7059
2023-03-07,21.3694
2023-03-08,21.3459
2023-03-09,21.0721
2023-03-10,20.6886
2023-03-13,20.8295
2023-03-14,20.8686
2023-03-15,20.6417
2023-03-16,20.6808
2023-03-17,20.4617
2023-03-20,20.4461
2023-03-21,20.4226
2023-03-22,20.0392
2023-03-23,19.9766
2023-03-24,20.2113
2023-03-27,20.5243
2023-03-28,20.3913
2023-03-29,20.5243
2023-03-30,20.7793
2023-03-31,20.9131
2023-04-03,20.8974
2023-04-04,20.7951
2023-04-05,20.7479
2023-04-06,20.6928
2023-04-10,20.7636
2023-04-11,20.8895
2023-04-12,21.0548
2023-04-13,21.1099
2023-04-14,20.9604
2023-04-17,21.1335
2023-04-18,20.9289
2023-04-19,20.7242
2023-04-20,20.7557
2023-04-21,20.8738
2023-04-24,20.8659
2023-04-25,20.8738
2023-04-26,20.6062
2023-04-27,20.7677
2023-04-28,20.7281
2023-05-01,20.6648
2023-05-02,20.3797
2023-05-03,20.3085
2023-05-04,20.1422
2023-05-05,20.3481
2023-05-08,20.3797
2023-05-09,20.3243
2023-05-10,20.3322
2023-05-11,20.4985
2023-05-12,20.5856
2023-05-15,20.7439
2023-05-16,20.3639
2023-05-17,20.4827
2023-05-18,20.2689
2023-05-19,20.3164
2023-05-23,20.3243
2023-05-24,20.2610
2023-05-25,20.1739
2023-05-26,20.2293
2023-05-29,20.4035
2023-05-30,20.3031
2023-05-31,20.1837
2023-06-01,20.0005
2023-06-02,20.3589
2023-06-05,20.3111
2023-06-06,20.3270
2023-06-07,20.3031
2023-06-08,20.2076
2023-06-09,20.0721
2023-06-12,19.9766
2023-06-13,19.9845
2023-06-14,20.0084
2023-06-15,19.9527
2023-06-16,19.7535
2023-06-19,19.6420
2023-06-20,19.6420
2023-06-21,19.2199
2023-06-22,18.8614
2023-06-23,18.5906
2023-06-26,18.8137
2023-06-27,19.0128
2023-06-28,19.1721
2023-06-29,19.2474
2023-06-30,19.4719
2023-07-04,19.6082
2023-07-05,19.4799
2023-07-06,19.1432
2023-07-07,19.1352
2023-07-10,19.1272
2023-07-11,19.2234
2023-07-12,19.5360
2023-07-13,19.6162
2023-07-14,19.7044
2023-07-17,19.7845
2023-07-18,19.6883
2023-07-19,20.0411
2023-07-20,20.0090
2023-07-21,20.1533
2023-07-24,20.2254
2023-07-25,20.2655
2023-07-26,20.2174
2023-07-27,20.0090
2023-07-28,20.0606
2023-07-31,20.0929
2023-08-01,20.1816
2023-08-02,20.0203
2023-08-03,19.9558
2023-08-04,20.1252
2023-08-08,20.0284
2023-08-09,20.1252
2023-08-10,20.2219
2023-08-11,20.0768
2023-08-14,20.0203
2023-08-15,19.9235
2023-08-16,19.9074
2023-08-17,19.7138
2023-08-18,19.6734
2023-08-21,19.4234
2023-08-22,19.2943
2023-08-23,19.6170
2023-08-24,19.4718
2023-08-25,19.6331
2023-08-28,19.7702
2023-08-29,19.9074
2023-08-30,19.8944
2023-08-31,19.5210
2023-09-01,19.6671
2023-09-05,19.6752
2023-09-06,19.6428
2023-09-07,19.6428
2023-09-08,19.3993
2023-09-11,19.4236
2023-09-12,19.4480
2023-09-13,19.6184
2023-09-14,20.1622
2023-09-15,19.7807
2023-09-18,19.7807
2023-09-19,19.5535
2023-09-20,19.6346
2023-09-21,19.3019
2023-09-22,19.3019
2023-09-25,18.9691
2023-09-26,18.5470
2023-09-27,18.3035
2023-09-28,18.5846
2023-09-29,18.6010
2023-10-02,18.1433
2023-10-03,17.6938
2023-10-04,18.0861
2023-10-05,18.2659
2023-10-06,18.4048
2023-10-10,18.5928
2023-10-11,18.9033
2023-10-12,18.7726
2023-10-13,18.6827
2023-10-16,18.8625
2023-10-17,18.9524
2023-10-18,18.6990
2023-10-19,18.4375
2023-10-20,18.0044
2023-10-23,18.0289
2023-10-24,17.9635
2023-10-25,17.5630
2023-10-26,17.4813
2023-10-27,17.3914
2023-10-30,17.5758
2023-10-31,17.6911
2023-11-01,18.2262
2023-11-02,18.9259
2023-11-03,19.4610
2023-11-06,19.1070
2023-11-07,18.7695
2023-11-08,19.0000
2023-11-09,18.9177
2023-11-10,18.8683
2023-11-13,18.6295
2023-11-14,19.4281
2023-11-15,19.2881
2023-11-16,19.1976
2023-11-17,19.0082
2023-11-20,19.0000
2023-11-21,18.6872
2023-11-22,18.9424
2023-11-23,18.9012
2023-11-24,18.8683
2023-11-27,18.8765
2023-11-28,18.8271
2023-11-29,18.8719
2023-11-30,19.1371
2023-12-01,19.6509
2023-12-04,19.7255
2023-12-05,19.8830
2023-12-06,20.0156
2023-12-07,19.7836
2023-12-08,19.7007
2023-12-11,19.5018
2023-12-12,19.4437
2023-12-13,20.5709
2023-12-14,20.6869
2023-12-15,20.3637
2023-12-18,20.2477
2023-12-19,20.3057
2023-12-20,19.9576
2023-12-21,20.1234
2023-12-22,20.3306
